,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows,label
45,198.18.0.1,60229,198.18.0.83,443,192.168.5.2,60237,221.5.100.174,2011,198.18.0.1,60229,198.18.0.83,443,15,7004,40,5.884645,0.0923519999999999,2,encore.scdn.co,192.168.5.2,60237,221.5.100.174,2011,20,8370,35,5.936712,0.1403069999999999,2,audio
46,198.18.0.1,60247,198.18.0.84,443,192.168.5.2,60254,221.5.100.174,2011,198.18.0.1,60247,198.18.0.84,443,3315,2539402,51,5.891627,7.677746000000001,160,open.spotifycdn.com,192.168.5.2,60254,221.5.100.174,2011,1305,1374067,46,5.940811,7.714945999999999,160,audio
47,198.18.0.1,60239,198.18.0.90,443,192.168.5.2,60249,221.5.100.174,2011,198.18.0.1,60239,198.18.0.90,443,18,6767,47,5.890519,7.673889,3,gae2-dealer.spotify.com,192.168.5.2,60249,221.5.100.174,2011,19,8054,41,5.940503,7.710882,3,audio
48,198.18.0.1,60234,198.18.0.87,443,192.168.5.2,60243,221.5.100.174,2011,198.18.0.1,60234,198.18.0.87,443,38,10790,45,5.887249,7.680824,9,clienttoken.spotify.com,192.168.5.2,60243,221.5.100.174,2011,35,19400,37,5.93865,7.715553000000001,9,audio
49,198.18.0.1,60241,198.18.0.84,443,192.168.5.2,60251,221.5.100.174,2011,198.18.0.1,60241,198.18.0.84,443,5426,4255086,49,5.891017,7.675988,20,open.spotifycdn.com,192.168.5.2,60251,221.5.100.174,2011,2059,2076760,43,5.940636,7.711798,20,audio
50,198.18.0.1,60238,198.18.0.84,443,192.168.5.2,60250,221.5.100.174,2011,198.18.0.1,60238,198.18.0.84,443,22,10323,46,5.890193,0.0962459999999998,3,open.spotifycdn.com,192.168.5.2,60250,221.5.100.174,2011,22,10074,42,5.940516,0.1311600000000004,3,audio
51,198.18.0.1,60230,198.18.0.83,443,192.168.5.2,60245,221.5.100.174,2011,198.18.0.1,60230,198.18.0.83,443,11,2408,41,5.884913,0.0922879999999999,1,encore.scdn.co,192.168.5.2,60245,221.5.100.174,2011,18,8276,38,5.93873,0.0951890000000004,2,audio
52,198.18.0.1,60233,198.18.0.86,443,192.168.5.2,60248,221.5.100.174,2011,198.18.0.1,60233,198.18.0.86,443,188,54727,44,5.887038,7.680427999999999,55,api-partner.spotify.com,192.168.5.2,60248,221.5.100.174,2011,172,92101,40,5.939063,7.714621,55,audio
53,198.18.0.1,60240,198.18.0.84,443,192.168.5.2,60252,221.5.100.174,2011,198.18.0.1,60240,198.18.0.84,443,10,2361,48,5.890745,0.0958110000000003,1,open.spotifycdn.com,192.168.5.2,60252,221.5.100.174,2011,15,4977,44,5.94068,0.1338819999999998,1,audio
54,198.18.0.1,60231,198.18.0.83,443,192.168.5.2,60246,221.5.100.174,2011,198.18.0.1,60231,198.18.0.83,443,10,2324,42,5.885187,0.0920860000000001,1,encore.scdn.co,192.168.5.2,60246,221.5.100.174,2011,18,8179,39,5.938866,0.1030009999999999,2,audio
55,198.18.0.1,60232,198.18.0.85,443,192.168.5.2,60242,221.5.100.174,2011,198.18.0.1,60232,198.18.0.85,443,42,10829,43,5.886748,7.68081,11,apresolve.spotify.com,192.168.5.2,60242,221.5.100.174,2011,41,17580,36,5.938632,7.717212,11,audio
56,198.18.0.1,60244,198.18.0.88,443,192.168.5.2,60253,221.5.100.174,2011,198.18.0.1,60244,198.18.0.88,443,145,60325,50,5.891293,7.677468,35,gae2-spclient.spotify.com,192.168.5.2,60253,221.5.100.174,2011,152,87208,45,5.94068,7.718012999999999,33,audio
57,198.18.0.1,60256,198.18.0.91,443,192.168.5.2,60259,221.5.100.174,2011,198.18.0.1,60256,198.18.0.91,443,20,7551,53,5.894889,7.670029,4,pixel.spotify.com,192.168.5.2,60259,221.5.100.174,2011,23,9204,48,5.943856,7.707487,4,audio
58,198.18.0.1,60257,198.18.0.92,443,192.168.5.2,60260,221.5.100.174,2011,198.18.0.1,60257,198.18.0.92,443,20,7654,54,5.895873,7.668974,4,pixel-static.spotify.com,192.168.5.2,60260,221.5.100.174,2011,23,8927,49,5.945115,7.706247,4,audio
59,198.18.0.1,60262,198.18.0.94,443,192.168.5.2,60265,221.5.100.174,2011,198.18.0.1,60262,198.18.0.94,443,22,10220,56,5.898131,7.66655,3,mosaic.scdn.co,192.168.5.2,60265,221.5.100.174,2011,24,11135,51,5.946983,7.704301999999999,3,audio
60,198.18.0.1,60255,198.18.0.89,443,192.168.5.2,60258,221.5.100.174,2011,198.18.0.1,60255,198.18.0.89,443,22,10280,52,5.894588,7.670366,3,pl.scdn.co,192.168.5.2,60258,221.5.100.174,2011,23,11058,47,5.943818,7.710248,3,audio
61,198.18.0.1,60263,198.18.0.97,443,192.168.5.2,60266,221.5.100.174,2011,198.18.0.1,60263,198.18.0.97,443,18,7855,57,5.899096,7.665558000000001,3,lineup-images.scdn.co,192.168.5.2,60266,221.5.100.174,2011,24,10995,52,5.947958,7.703302000000001,3,audio
