Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,62282,157.0.148.1,80,9,526,141,5,290,4,236,145.619238,0.0423289999999951,54808,44602,0
192.168.5.2,62286,157.0.148.3,80,10,580,142,6,344,4,236,155.659173,0.3356419999999787,8199,5625,0
192.168.5.2,62292,157.0.148.3,80,9,526,144,5,290,4,236,165.628317,0.0368399999999837,62975,51248,0
192.168.5.2,62300,157.0.148.3,80,9,526,145,5,290,4,236,175.690465,0.0399069999999994,58135,47309,0
192.168.5.2,62308,157.0.148.1,80,9,526,148,5,290,4,236,185.647057,0.0446060000000159,52010,42326,0
192.168.5.2,62316,157.0.148.1,80,9,526,151,5,290,4,236,195.697844,0.0472929999999962,49055,39921,0
192.168.5.2,62327,10.208.44.70,7680,3,222,158,3,222,0,0,203.019703,3.004464000000013,591,0,0
192.168.5.2,62330,157.0.148.1,80,10,580,159,6,344,4,236,205.654071,0.3377860000000225,8147,5589,0
192.168.5.2,62334,157.0.148.1,80,10,580,160,6,344,4,236,215.644645,0.3488360000000057,7889,5412,0
192.168.5.2,62338,157.0.148.1,80,9,526,161,5,290,4,236,225.714946,0.0513809999999921,45152,36745,0
192.168.5.2,62342,157.0.148.1,80,10,580,162,6,344,4,236,235.671671,0.3515219999999885,7828,5370,0
192.168.5.2,62345,10.203.247.218,7680,2,128,163,1,74,1,54,243.268166,0.0426180000000044,13890,10136,0
192.168.5.2,62345,10.203.247.218,7680,2,128,164,1,74,1,54,243.809924,0.0098540000000184,60077,43840,0
192.168.5.2,62345,10.203.247.218,7680,2,128,165,1,74,1,54,244.322831,0.0094009999999968,62972,45952,0
192.168.5.2,62345,10.203.247.218,7680,2,128,167,1,74,1,54,244.836329,0.017924999999991,33026,24100,0
192.168.5.2,62345,10.203.247.218,7680,2,128,168,1,74,1,54,245.367246,0.006321000000014,93656,68343,0
192.168.5.2,62350,10.203.247.218,7680,2,128,169,1,74,1,54,245.385134,0.0060919999999953,97176,70912,0
192.168.5.2,62353,157.0.148.1,80,10,580,170,6,344,4,236,245.729686,0.3502750000000105,7856,5390,0
192.168.5.2,62350,10.203.247.218,7680,2,128,171,1,74,1,54,245.899722,0.0188780000000008,31359,22883,0
192.168.5.2,62350,10.203.247.218,7680,2,128,172,1,74,1,54,246.429547,0.0108869999999967,54376,39680,0
192.168.5.2,62350,10.203.247.218,7680,2,128,173,1,74,1,54,246.945352,0.0079219999999793,74728,54531,0
192.168.5.2,62350,10.203.247.218,7680,2,128,174,1,74,1,54,247.457296,0.0071609999999964,82670,60326,0
192.168.5.2,62355,10.203.247.218,7680,2,128,175,1,74,1,54,247.48379,0.0104489999999941,56656,41343,0
192.168.5.2,62355,10.203.247.218,7680,2,128,176,1,74,1,54,248.000283,0.0239229999999963,24746,18057,0
192.168.5.2,62376,157.0.148.1,80,10,580,180,6,344,4,236,255.685516,0.3440190000000029,7999,5488,0
192.168.5.2,62414,157.0.148.3,80,9,526,182,5,290,4,236,265.678981,0.0376039999999875,61695,50207,0
192.168.5.2,62422,157.0.148.3,80,10,580,183,6,344,4,236,275.731455,0.3424740000000383,8035,5512,0
192.168.5.2,62431,10.203.154.37,7680,2,148,185,2,148,0,0,283.480756,1.0107570000000123,1171,0,0
192.168.5.2,62436,157.0.148.3,80,9,526,186,5,290,4,236,285.703825,0.0371729999999956,62410,50789,0
